run,path,method,loss_type,num_points,first_step,last_step,first100_mean,last100_mean,last100_over_first100,median_loss,p95_loss,max_loss,final_loss,rolling50_final
EPIC medium_5000_ddp64,/project/6101803/enmingzz/outputs/visionzip_aokvqa_reasoning/checkpoints/epic/medium_5000_ddp64/training_log.jsonl,epic,ce,2500,2,5000,0.2033597446978092,0.12742798000574113,0.6266135915694524,0.0,0.5481501638889309,1.1753476858139038,0.29113516211509705,0.12975322872400283
EPIC-TCD medium_5000_tcd_ddp64,/project/6101803/enmingzz/outputs/visionzip_aokvqa_reasoning/checkpoints/epic/medium_5000_tcd_ddp64/training_log.jsonl,epic,epic_tcd,1250,4,5000,0.672229446619749,0.5240270789712668,0.7795360372954416,0.49692530930042267,1.009557247161865,1.952074408531189,0.481025367975235,0.5903975141048431
EPIC stage1 of EPIC5k->OPSD5k,/project/6101803/enmingzz/outputs/visionzip_aokvqa_reasoning/checkpoints/epic/epic_then_opsd_10000_50_50_stage1_epic5000/training_log.jsonl,epic,epic_tcd,1250,4,5000,0.6723280145227909,0.5228900445252657,0.7777305619138982,0.49528154730796814,1.0096949994564055,1.952074408531189,0.4707045555114746,0.588280681669712
